tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Fraude Informatico,Redes Sociales,30-49,Masculino,La Libertad,Tarde,Si,No,Si,4537.42
Sextorsion,Redes Sociales,50-64,Femenino,Lima,Noche,No,No,No,7632.33
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Callao,Madrugada,Si,No,No,1693.75
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Arequipa,Madrugada,No,No,Si,1167.56
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Tarde,No,Si,No,4191.86
Fraude Informatico,Redes Sociales,50-64,Femenino,Junin,Noche,No,No,Si,10009.89
Fraude Informatico,Redes Sociales,50-64,Masculino,Lima,Manana,No,No,No,8676.94
Estafa por Internet,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,Si,3240.86
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Arequipa,Tarde,No,No,No,1748.57
Acceso Ilicito,Correo Electronico,18-29,Masculino,Lima,Noche,No,No,Si,4097.47
Fraude Informatico,Pagina Web Falsa,30-49,Femenino,Cusco,Noche,No,No,Si,6964.66
Sextorsion,Correo Electronico,18-29,Femenino,Puno,Noche,No,No,No,5782.95
Acceso Ilicito,Llamada Telefonica,18-29,Femenino,Tacna,Madrugada,No,No,Si,3742.72
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Madrugada,No,No,Si,7690.89
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,No,4507.41
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Piura,Noche,No,No,Si,5248.35
Fraude Informatico,Redes Sociales,30-49,Masculino,Lima,Manana,No,No,No,7977.68
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Lima,Manana,Si,No,Si,3212.65
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,No,No,4733.39
Fraude Informatico,Llamada Telefonica,50-64,Femenino,Lima,Madrugada,No,No,No,6351.13
Suplantacion de Identidad,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,No,1708.77
Fraude Informatico,Llamada Telefonica,30-49,Masculino,Callao,Tarde,Si,No,No,4646.06
Fraude Informatico,Redes Sociales,30-49,Masculino,Callao,Tarde,No,Si,Si,3460.51
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,No,Si,8483.84
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Lima,Manana,No,No,No,1984.27
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,Si,No,3879.88
Fraude Informatico,WhatsApp o SMS,65 o mas,Masculino,Callao,Tarde,No,No,Si,10649.08
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,No,1935.55
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Piura,Tarde,Si,Si,No,1493.03
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Manana,No,No,No,4811.55
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Arequipa,Madrugada,No,No,No,2122.88
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Madrugada,Si,Si,No,5425.58
Fraude Informatico,Correo Electronico,50-64,Femenino,Cusco,Manana,No,Si,Si,4915.22
Estafa por Internet,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,Si,No,No,1766.06
Sextorsion,Redes Sociales,18-29,Masculino,La Libertad,Noche,No,No,Si,3842.65
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,Si,No,No,2480.81
Fraude Informatico,WhatsApp o SMS,30-49,Femenino,Piura,Tarde,No,No,No,6123.97
Fraude Informatico,Correo Electronico,65 o mas,Masculino,Callao,Manana,Si,No,Si,9424.62
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Manana,Si,No,No,2201.52
Fraude Informatico,Redes Sociales,30-49,Femenino,Callao,Manana,No,No,No,5629.28
Fraude Informatico,Correo Electronico,18-29,Femenino,Arequipa,Manana,No,No,Si,4845.07
Suplantacion de Identidad,WhatsApp o SMS,65 o mas,Femenino,Lima,Madrugada,No,No,No,3812.35
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Tarde,Si,No,Si,3039.7
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Lima,Noche,No,Si,No,3750.69
Fraude Informatico,Llamada Telefonica,30-49,Femenino,Piura,Manana,No,Si,Si,3955.51
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Piura,Madrugada,No,No,No,2474.93
Fraude Informatico,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,No,Si,No,7307.22
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Lima,Manana,No,Si,Si,1500.44
Suplantacion de Identidad,WhatsApp o SMS,18-29,Masculino,Puno,Noche,Si,No,Si,1733.18
Fraude Informatico,Redes Sociales,18-29,Masculino,Lambayeque,Tarde,No,No,No,3007.86
Sextorsion,Llamada Telefonica,18-29,Masculino,Lima,Noche,Si,No,No,3726.92
Acceso Ilicito,Redes Sociales,30-49,Femenino,Junin,Manana,No,No,No,4360.66
Estafa por Internet,Pagina Web Falsa,18-29,Femenino,Lima,Tarde,No,No,Si,3278.22
Estafa por Internet,Pagina Web Falsa,18-29,Masculino,Lima,Tarde,No,No,Si,1791.11
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Puno,Tarde,No,No,Si,2736.15
