X1_sexo,X2_zona,X3_ciclo,X4_ingreso_familiar,X5_trabaja,X6_beca,X7_educ_jefe,X8_tam_familiar,X9_asistencia,X10_cursos_desaprobados,X11_promedio_final
Masculino,Urbana,2,334.75,No,No,Primaria,4,90.5,2,12.64
Femenino,Rural,7,863.44,No,No,Primaria,7,87.3,0,14.22
Femenino,Rural,9,1013.3,Sí,No,Secundaria,7,65.8,1,12.38
Femenino,Rural,6,669.85,Sí,Sí,Primaria,5,65.3,2,11.78
Femenino,Urbana,2,747.79,Sí,No,Superior universitaria,6,81.2,2,13.55
Masculino,Urbana,5,1901.26,Sí,No,Superior universitaria,4,75.7,2,14.12
Femenino,Rural,4,455.88,Sí,No,Superior universitaria,3,82.6,1,14.52
Masculino,Rural,5,3825.28,No,No,Superior técnica,1,91.0,3,13.79
Femenino,Rural,7,879.93,No,No,Primaria,7,82.1,2,12.29
Femenino,Rural,3,985.56,No,Sí,Sin educación,8,80.5,1,13.51
Masculino,Rural,10,963.03,No,Sí,Primaria,7,95.3,0,15.71
Masculino,Rural,1,1194.87,No,Sí,Sin educación,2,90.1,2,11.44
Masculino,Urbana,4,1203.98,No,No,Secundaria,9,82.2,2,13.1
Masculino,Rural,6,1730.05,No,Sí,Sin educación,4,86.0,1,14.38
Masculino,Urbana,4,1832.53,No,No,Secundaria,2,91.6,3,12.03
Masculino,Urbana,8,4153.54,Sí,No,Superior técnica,4,67.9,3,13.11
Masculino,Rural,6,980.66,No,No,Superior universitaria,7,97.6,0,15.68
Masculino,Rural,8,814.01,No,No,Sin educación,6,90.6,0,15.29
Masculino,Urbana,5,1536.18,No,No,Secundaria,5,95.8,1,15.5
Masculino,Urbana,7,2267.72,No,No,Secundaria,6,91.0,0,14.74
Masculino,Rural,8,405.11,Sí,Sí,Secundaria,4,84.2,1,12.39
Femenino,Rural,3,512.18,No,No,Primaria,6,84.7,1,14.35
Masculino,Rural,4,689.16,Sí,Sí,Secundaria,2,80.7,2,12.56
Femenino,Urbana,6,2469.6,No,No,Primaria,11,83.0,2,13.12
Femenino,Rural,1,995.23,No,No,Secundaria,5,95.9,0,14.7
Femenino,Rural,8,704.62,No,No,Superior universitaria,3,79.1,1,14.89
Masculino,Urbana,2,800.67,Sí,Sí,Secundaria,11,78.1,2,12.34
Masculino,Rural,10,1548.88,No,No,Primaria,5,89.4,1,13.81
Femenino,Urbana,3,1717.85,Sí,No,Primaria,5,76.6,2,11.74
Femenino,Urbana,2,1751.01,No,No,Superior universitaria,7,88.5,0,15.49
Femenino,Urbana,1,2329.7,No,No,Superior universitaria,2,100.0,2,14.96
Masculino,Rural,1,1270.72,Sí,No,Superior universitaria,2,80.1,9,9.12
Femenino,Rural,3,2366.9,No,No,Primaria,8,79.1,1,13.21
Femenino,Rural,10,624.75,Sí,No,Secundaria,3,77.7,1,13.73
Femenino,Urbana,4,4386.57,No,No,Secundaria,6,93.1,0,15.44
Femenino,Urbana,8,6010.88,No,Sí,Superior universitaria,7,91.9,0,16.28
Femenino,Rural,3,2514.59,Sí,No,Secundaria,2,75.6,2,11.71
Femenino,Rural,1,1103.98,Sí,Sí,Primaria,6,90.4,3,12.47
Masculino,Rural,2,974.43,No,Sí,Primaria,3,99.1,2,13.87
Masculino,Urbana,8,1965.05,No,No,Superior técnica,7,89.8,2,15.28
Masculino,Rural,1,741.72,No,No,Primaria,6,85.5,2,12.48
Masculino,Rural,1,634.08,Sí,No,Superior universitaria,3,83.2,3,12.41
Femenino,Rural,1,515.01,Sí,No,Secundaria,4,74.4,0,12.85
Masculino,Rural,2,1251.21,No,No,Sin educación,6,88.5,4,12.65
Femenino,Rural,1,573.28,Sí,No,Sin educación,6,76.3,3,10.61
Femenino,Rural,2,2657.83,Sí,No,Secundaria,5,83.5,4,12.03
Femenino,Urbana,5,4281.24,No,No,Superior técnica,8,85.8,0,16.37
Femenino,Urbana,1,1235.76,No,Sí,Superior técnica,5,92.1,1,15.59
