X1_sexo,X2_zona,X3_ciclo,X4_ingreso_familiar,X5_trabaja,X6_beca,X7_educ_jefe,X8_tam_familiar,X9_asistencia,X10_cursos_desaprobados,X11_promedio_final
Masculino,Urbana,1,1,No,Sí,Secundaria,7,84,0,5.2
Femenino,Urbana,1,2,No,Sí,Secundaria,8,64,0,2.6
Masculino,Urbana,2,2,Sí,Sí,Secundaria,7,98,0,8.3
Masculino,Urbana,2,2,Sí,Sí,Secundaria,8,89,0,7.0
Femenino,Urbana,2,2,Sí,Sí,Secundaria,6,92,0,6.5
Masculino,Urbana,2,2,Sí,Sí,Secundaria,8,88,0,7.0
Masculino,Urbana,1,1,Sí,Sí,Secundaria,7,84,0,5.2
Masculino,Urbana,2,0,Sí,Sí,Secundaria,6,78,0,4.8
Masculino,Urbana,0,2,No,Sí,Secundaria,6,94,0,6.1
Masculino,Urbana,2,0,Sí,Sí,Secundaria,8,98,0,7.4
Masculino,Urbana,2,2,No,No,Secundaria,8,80,0,5.7
Masculino,Urbana,1,1,Sí,Sí,Secundaria,6,97,0,7.0
Masculino,Urbana,1,2,Sí,Sí,Secundaria,8,83,0,6.5
Masculino,Urbana,2,2,Sí,Sí,Secundaria,8,82,0,4.8
Masculino,Urbana,2,1,Sí,Sí,Secundaria,8,78,0,4.3
Femenino,Urbana,2,2,No,Sí,Secundaria,8,68,0,3.9
Masculino,Urbana,1,0,Sí,Sí,Secundaria,10,60,0,2.2
Femenino,Urbana,2,1,Sí,Sí,Secundaria,6,70,0,4.3
Femenino,Urbana,1,1,Sí,Sí,Secundaria,9,80,0,5.2
Masculino,Urbana,2,2,Sí,Sí,Secundaria,7,75,0,4.8
Femenino,Urbana,0,0,No,Sí,Secundaria,5,78,0,6.1
Masculino,Urbana,2,2,No,Sí,Secundaria,6,99,0,7.4
Femenino,Urbana,1,2,No,Sí,Secundaria,8,74,0,4.8
Masculino,Urbana,0,1,Sí,Sí,Secundaria,8,78,0,4.8
Femenino,Urbana,2,1,Sí,Sí,Secundaria,5,65,0,3.5
Masculino,Urbana,0,0,Sí,Sí,Secundaria,6,62,0,3.9
Femenino,Urbana,2,0,No,Sí,Secundaria,6,91,0,4.3
Masculino,Urbana,2,0,Sí,Sí,Secundaria,6,83,0,7.0
Femenino,Urbana,2,1,No,Sí,Secundaria,4,90,0,4.8
Masculino,Urbana,1,1,No,Sí,Secundaria,4,66,0,3.9
Femenino,Urbana,2,0,No,Sí,Secundaria,6,83,0,3.5
Masculino,Urbana,2,0,Sí,Sí,Secundaria,7,70,0,6.1
Masculino,Urbana,2,2,Sí,Sí,Secundaria,8,69,0,5.2
Femenino,Urbana,2,2,No,Sí,Secundaria,5,60,0,2.6
Femenino,Urbana,2,2,No,Sí,Secundaria,5,65,0,5.7
Masculino,Urbana,1,1,No,Sí,Secundaria,6,72,0,2.6
Femenino,Urbana,1,2,Sí,Sí,Secundaria,7,65,0,3.9
Femenino,Urbana,1,1,No,Sí,Secundaria,9,99,0,5.2
Femenino,Urbana,2,1,Sí,Sí,Secundaria,8,72,0,3.5
Masculino,Urbana,1,2,Sí,Sí,Secundaria,6,65,0,3.9
Masculino,Urbana,1,0,No,Sí,Secundaria,8,68,0,5.2
Femenino,Urbana,1,2,Sí,Sí,Secundaria,6,84,0,4.3
Masculino,Urbana,2,2,No,Sí,Secundaria,7,63,0,3.9
Masculino,Urbana,2,2,Sí,Sí,Secundaria,7,94,0,6.5
Masculino,Urbana,1,2,Sí,Sí,Secundaria,9,98,0,5.7
Masculino,Urbana,2,2,Sí,Sí,Secundaria,8,70,0,4.3
Femenino,Urbana,2,2,Sí,Sí,Secundaria,6,78,0,5.7
Femenino,Urbana,2,1,Sí,Sí,Secundaria,6,61,0,3.9
Masculino,Urbana,1,1,Sí,Sí,Secundaria,7,86,0,5.7
Masculino,Urbana,2,2,No,Sí,Secundaria,5,77,0,3.5
Masculino,Urbana,1,2,Sí,Sí,Secundaria,7,71,0,3.9
Masculino,Urbana,2,2,No,Sí,Secundaria,7,68,0,3.9
Masculino,Urbana,2,2,Sí,Sí,Secundaria,8,86,0,5.2
Femenino,Urbana,2,2,No,Sí,Secundaria,8,77,0,5.2
Femenino,Urbana,1,0,Sí,Sí,Secundaria,7,67,0,4.8
Masculino,Urbana,2,1,Sí,Sí,Secundaria,5,88,0,7.4
Femenino,Urbana,1,2,No,No,Secundaria,5,83,0,4.3
Masculino,Urbana,0,2,Sí,Sí,Secundaria,6,94,0,7.0
Femenino,Urbana,2,2,No,Sí,Secundaria,8,65,0,4.8
Masculino,Urbana,2,1,Sí,Sí,Secundaria,8,91,0,5.7
Femenino,Urbana,2,0,No,Sí,Secundaria,7,87,0,6.5
Masculino,Urbana,1,1,Sí,Sí,Secundaria,10,65,0,3.0
Masculino,Urbana,0,1,Sí,Sí,Secundaria,9,88,0,5.7
