,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.988182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X2,0.988182,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.958883,1.0,1.0
X4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
X5,1.0,1.0,1.0,1.0,0.0,0.953611,1.0,1.0,1.0,1.0
X6,1.0,1.0,1.0,1.0,0.953611,0.0,0.999342,1.0,1.0,1.0
X7,1.0,1.0,1.0,1.0,1.0,0.999342,0.0,1.0,1.0,1.0
X8,1.0,1.0,0.958883,1.0,1.0,1.0,1.0,0.0,1.0,1.0
X9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
X10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
