having_IP_Address,URL_Length,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,web_traffic,Google_Index,Result
0,1,0,0,-1,1,0,1,1
1,1,-1,-1,-1,0,-1,0,1
0,1,-1,0,1,0,0,0,1
0,0,-1,-1,-1,0,1,0,1
0,0,-1,-1,-1,1,1,0,1
1,1,0,0,0,1,-1,1,1
1,-1,-1,-1,-1,0,-1,1,1
1,1,-1,0,-1,-1,-1,0,1
1,-1,-1,0,-1,-1,-1,0,1
0,-1,0,-1,-1,0,1,1,1
0,1,0,-1,-1,1,-1,1,1
0,-1,0,0,0,-1,-1,1,1
1,-1,0,0,-1,0,1,0,1
0,-1,-1,0,-1,-1,1,0,1
0,-1,-1,-1,-1,-1,1,1,1
1,-1,-1,-1,-1,0,1,0,1
0,1,-1,0,0,0,-1,0,1
0,-1,-1,1,-1,0,0,0,1
0,-1,-1,1,-1,1,0,0,1
1,-1,0,0,0,0,0,0,1
0,-1,-1,-1,-1,0,0,0,1
0,-1,0,0,0,0,0,0,1
0,-1,-1,0,-1,1,0,0,1
0,-1,-1,1,-1,1,1,0,1
0,-1,-1,1,1,0,0,0,1
0,-1,-1,-1,1,0,0,0,1
0,-1,-1,-1,-1,0,1,0,1
0,-1,-1,-1,-1,0,-1,0,1
0,-1,-1,0,0,0,-1,0,1
0,-1,0,-1,-1,0,-1,0,1
0,-1,0,-1,-1,1,-1,0,1
0,-1,-1,0,-1,1,1,0,1
0,1,0,-1,-1,-1,1,0,1
0,-1,-1,-1,1,0,1,0,1
0,-1,-1,-1,1,0,1,1,1
0,1,0,0,0,-1,-1,1,1
0,-1,-1,-1,-1,-1,0,1,1
0,-1,-1,0,-1,0,-1,1,1
0,-1,-1,0,0,0,-1,1,1
0,-1,-1,1,-1,1,-1,0,1
1,-1,0,-1,-1,0,1,0,1
0,-1,0,1,1,0,0,1,1
0,1,-1,0,0,1,0,0,1
0,-1,0,-1,-1,-1,1,0,1
0,-1,0,-1,-1,0,0,1,1
