tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Arequipa,Tarde,No,No,No,2884.55
Acceso Ilicito,Redes Sociales,50-64,Masculino,Lima,Tarde,No,No,No,2880.75
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Junin,Noche,No,Si,Si,2877.1
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Tarde,Si,No,No,2871.73
Suplantacion de Identidad,Llamada Telefonica,50-64,Femenino,Lima,Manana,No,Si,Si,2866.77
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Manana,No,Si,No,2857.39
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Madrugada,No,No,No,2854.74
Suplantacion de Identidad,Pagina Web Falsa,30-49,Masculino,Lima,Tarde,No,No,No,2848.44
Acceso Ilicito,Redes Sociales,18-29,Masculino,Lima,Tarde,No,No,Si,2846.62
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lima,Manana,Si,No,Si,2844.9
Estafa por Internet,Redes Sociales,65 o mas,Masculino,Cusco,Tarde,No,No,Si,2842.77
Acceso Ilicito,Pagina Web Falsa,18-29,Femenino,Lima,Tarde,Si,Si,No,2840.95
Estafa por Internet,Pagina Web Falsa,18-29,Masculino,Lima,Madrugada,No,No,No,2840.87
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Tacna,Tarde,No,No,No,2840.27
Suplantacion de Identidad,Correo Electronico,50-64,Femenino,Lima,Manana,No,Si,No,2839.5
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Lima,Madrugada,No,No,No,2825.65
Suplantacion de Identidad,Correo Electronico,30-49,Femenino,Lima,Tarde,No,No,No,2818.34
Sextorsion,Llamada Telefonica,30-49,Masculino,Lima,Madrugada,No,Si,No,2813.84
Fraude Informatico,Redes Sociales,18-29,Femenino,Puno,Tarde,Si,No,Si,2809.95
Sextorsion,Correo Electronico,18-29,Masculino,Lima,Noche,No,No,No,2809.86
Estafa por Internet,WhatsApp o SMS,50-64,Femenino,Callao,Tarde,No,No,No,2801.95
Sextorsion,Redes Sociales,18-29,Femenino,Puno,Tarde,Si,Si,No,2792.31
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,Si,2782.21
Sextorsion,Correo Electronico,18-29,Femenino,Lima,Noche,Si,No,Si,2779.79
Suplantacion de Identidad,Redes Sociales,65 o mas,Femenino,Lima,Tarde,Si,No,No,2779.74
Estafa por Internet,Correo Electronico,18-29,Femenino,Lambayeque,Noche,No,No,Si,2778.43
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Madrugada,No,No,Si,2777.89
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,La Libertad,Manana,No,No,No,2770.19
Suplantacion de Identidad,Redes Sociales,50-64,Femenino,Lima,Manana,No,No,No,2766.7
Suplantacion de Identidad,WhatsApp o SMS,50-64,Masculino,Lambayeque,Tarde,No,No,Si,2765.67
Suplantacion de Identidad,Correo Electronico,18-29,Femenino,Lima,Tarde,No,No,Si,2760.49
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Madrugada,No,No,Si,2759.4
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Arequipa,Manana,No,No,No,2756.98
Acceso Ilicito,Redes Sociales,30-49,Masculino,Lima,Manana,No,Si,Si,2753.39
Acceso Ilicito,Llamada Telefonica,18-29,Femenino,Cusco,Tarde,Si,No,Si,2736.72
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Puno,Tarde,No,No,Si,2736.15
Suplantacion de Identidad,Correo Electronico,30-49,Femenino,Lima,Manana,No,No,Si,2729.02
Acceso Ilicito,Correo Electronico,18-29,Femenino,Lima,Madrugada,No,Si,Si,2727.15
Estafa por Internet,Pagina Web Falsa,65 o mas,Masculino,Cusco,Tarde,No,No,No,2726.1
Acceso Ilicito,Correo Electronico,18-29,Masculino,Piura,Tarde,No,No,Si,2718.04
Fraude Informatico,Pagina Web Falsa,18-29,Femenino,Cusco,Tarde,No,No,No,2712.35
Acceso Ilicito,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,No,No,2711.66
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,Piura,Noche,Si,No,No,2711.25
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,Puno,Noche,No,Si,Si,2710.39
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lambayeque,Madrugada,No,No,Si,2709.23
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Manana,No,No,No,2705.82
Suplantacion de Identidad,Correo Electronico,30-49,Masculino,Arequipa,Tarde,No,No,No,2699.82
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Lima,Tarde,Si,Si,No,2691.99
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,No,2687.84
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Piura,Tarde,No,No,No,2682.4
Acceso Ilicito,Redes Sociales,18-29,Masculino,Junin,Manana,No,Si,Si,2667.06
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Manana,No,No,No,2665.08
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,No,2650.58
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Noche,No,No,Si,2646.13
Suplantacion de Identidad,Redes Sociales,30-49,Femenino,Lima,Noche,No,No,Si,2645.2
Acceso Ilicito,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,No,2644.1
Estafa por Internet,Llamada Telefonica,65 o mas,Masculino,Arequipa,Tarde,Si,No,No,2642.84
Sextorsion,Pagina Web Falsa,18-29,Masculino,Lima,Noche,No,No,No,2629.91
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Tacna,Tarde,Si,Si,Si,2629.66
Estafa por Internet,WhatsApp o SMS,18-29,Femenino,Callao,Manana,No,No,No,2627.26
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Lima,Manana,No,No,No,2626.66
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Noche,No,No,Si,2623.41
Acceso Ilicito,Correo Electronico,30-49,Masculino,Callao,Noche,No,No,No,2616.08
Suplantacion de Identidad,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,No,Si,2612.26
Sextorsion,Correo Electronico,18-29,Masculino,Puno,Tarde,No,Si,No,2608.62
Estafa por Internet,Redes Sociales,30-49,Masculino,Lima,Tarde,Si,No,No,2607.99
Suplantacion de Identidad,Correo Electronico,65 o mas,Femenino,Lima,Manana,No,Si,No,2600.74
Suplantacion de Identidad,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,No,2596.51
Suplantacion de Identidad,Pagina Web Falsa,30-49,Femenino,Lambayeque,Noche,Si,No,No,2591.65
Estafa por Internet,Redes Sociales,30-49,Femenino,Tacna,Noche,No,No,No,2590.99
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,La Libertad,Manana,No,No,No,2588.21
Suplantacion de Identidad,Correo Electronico,50-64,Femenino,Arequipa,Manana,Si,No,No,2586.23
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Arequipa,Noche,Si,No,Si,2585.97
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,Si,2581.57
Suplantacion de Identidad,Redes Sociales,18-29,Masculino,Lima,Manana,No,No,Si,2579.79
Estafa por Internet,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,Si,Si,2576.65
Suplantacion de Identidad,Redes Sociales,30-49,Masculino,Lima,Manana,Si,No,Si,2576.47
Acceso Ilicito,Redes Sociales,30-49,Masculino,Tacna,Madrugada,Si,No,Si,2570.9
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,No,2569.19
Fraude Informatico,Llamada Telefonica,18-29,Femenino,Lambayeque,Noche,No,No,No,2568.02
Suplantacion de Identidad,WhatsApp o SMS,30-49,Femenino,Lima,Manana,No,No,No,2563.94
Sextorsion,WhatsApp o SMS,18-29,Femenino,Lima,Manana,No,Si,No,2562.76
Estafa por Internet,Correo Electronico,30-49,Femenino,Arequipa,Tarde,No,No,Si,2561.13
Acceso Ilicito,Pagina Web Falsa,50-64,Femenino,Lima,Madrugada,Si,No,No,2558.7
Estafa por Internet,Redes Sociales,18-29,Femenino,La Libertad,Tarde,No,No,No,2558.67
Estafa por Internet,Llamada Telefonica,18-29,Femenino,Lima,Tarde,Si,No,No,2555.17
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Cusco,Manana,No,No,No,2555.1
Suplantacion de Identidad,WhatsApp o SMS,50-64,Femenino,Lima,Tarde,No,Si,No,2551.92
Fraude Informatico,Correo Electronico,18-29,Masculino,Junin,Tarde,No,No,No,2547.93
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Noche,No,No,No,2547.47
Fraude Informatico,Correo Electronico,18-29,Masculino,Tacna,Tarde,Si,Si,Si,2542.88
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Tarde,No,Si,Si,2540.03
Acceso Ilicito,Correo Electronico,50-64,Masculino,Tacna,Tarde,Si,No,Si,2524.22
Suplantacion de Identidad,Llamada Telefonica,30-49,Femenino,La Libertad,Tarde,No,No,Si,2518.41
Suplantacion de Identidad,Llamada Telefonica,65 o mas,Masculino,Lima,Tarde,No,No,Si,2512.0
Acceso Ilicito,Pagina Web Falsa,18-29,Masculino,Lima,Noche,No,No,No,2510.7
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Junin,Tarde,No,No,No,2508.62
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,La Libertad,Madrugada,Si,No,Si,2500.18
Suplantacion de Identidad,WhatsApp o SMS,18-29,Femenino,Lima,Noche,No,No,No,2495.78
Acceso Ilicito,WhatsApp o SMS,50-64,Femenino,La Libertad,Madrugada,No,No,Si,2495.73
Suplantacion de Identidad,WhatsApp o SMS,30-49,Masculino,Lima,Tarde,No,Si,No,2490.49
Estafa por Internet,Pagina Web Falsa,30-49,Masculino,Arequipa,Tarde,Si,No,No,2490.07
Acceso Ilicito,Redes Sociales,30-49,Femenino,Lima,Tarde,No,Si,Si,2484.26
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Madrugada,No,Si,Si,2482.76
