,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender
Hours_Studied,0.0,0.963964,1.0,1.0,1.0,0.969231,0.981501,1.0,1.0,0.974359,1.0,1.0,1.0,1.0,0.982051,1.0,1.0,1.0,1.0
Attendance,0.963964,0.0,1.0,1.0,1.0,0.971847,0.903392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Parental_Involvement,1.0,1.0,0.0,0.751256,0.884422,1.0,1.0,0.776382,0.934673,1.0,0.801508,0.743719,0.924623,0.909722,1.0,0.922111,0.930435,0.899497,0.909548
Access_to_Resources,1.0,1.0,0.751256,0.0,0.877238,1.0,1.0,0.746803,0.928389,1.0,0.774936,0.746803,0.920716,0.909722,1.0,0.920716,0.923913,0.895141,0.907928
Extracurricular_Activities,1.0,1.0,0.884422,0.877238,0.0,1.0,1.0,0.88601,0.821429,0.990244,0.880829,0.878706,0.886364,0.909722,0.981771,0.825397,0.932609,0.868035,0.871324
Sleep_Hours,0.969231,0.971847,1.0,1.0,1.0,0.0,0.979445,1.0,0.987578,0.962733,1.0,1.0,1.0,1.0,0.950311,0.983437,1.0,1.0,1.0
Previous_Scores,0.981501,0.903392,1.0,1.0,1.0,0.979445,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Motivation_Level,1.0,1.0,0.776382,0.746803,0.88601,1.0,1.0,0.0,0.930052,1.0,0.782383,0.746114,0.919689,0.902778,1.0,0.917098,0.919565,0.896373,0.896373
Internet_Access,1.0,1.0,0.934673,0.928389,0.821429,0.987578,1.0,0.930052,0.0,0.987805,0.930052,0.919137,0.878788,0.935185,0.979167,0.741259,0.936957,0.909091,0.878676
Tutoring_Sessions,0.974359,1.0,1.0,1.0,0.990244,0.962733,1.0,1.0,0.987805,0.0,1.0,1.0,1.0,1.0,0.887805,0.978049,1.0,1.0,1.0
Family_Income,1.0,1.0,0.801508,0.774936,0.880829,1.0,1.0,0.782383,0.930052,1.0,0.0,0.761658,0.935233,0.923611,1.0,0.92228,0.934783,0.898964,0.917098
Teacher_Quality,1.0,1.0,0.743719,0.746803,0.878706,1.0,1.0,0.746114,0.919137,1.0,0.761658,0.0,0.90566,0.898148,1.0,0.90566,0.917391,0.884097,0.889488
School_Type,1.0,1.0,0.924623,0.920716,0.886364,1.0,1.0,0.919689,0.878788,1.0,0.935233,0.90566,0.0,0.900463,1.0,0.863636,0.902174,0.894428,0.860294
Peer_Influence,1.0,1.0,0.909722,0.909722,0.909722,1.0,1.0,0.902778,0.935185,1.0,0.923611,0.898148,0.900463,0.0,1.0,0.918981,0.9,0.893519,0.907407
Physical_Activity,0.982051,1.0,1.0,1.0,0.981771,0.950311,1.0,1.0,0.979167,0.887805,1.0,1.0,1.0,1.0,0.0,0.96875,1.0,1.0,1.0
Learning_Disabilities,1.0,1.0,0.922111,0.920716,0.825397,0.983437,1.0,0.917098,0.741259,0.978049,0.92228,0.90566,0.863636,0.918981,0.96875,0.0,0.928261,0.897361,0.867647
Parental_Education_Level,1.0,1.0,0.930435,0.923913,0.932609,1.0,1.0,0.919565,0.936957,1.0,0.934783,0.917391,0.902174,0.9,1.0,0.928261,0.0,0.917391,0.915217
Distance_from_Home,1.0,1.0,0.899497,0.895141,0.868035,1.0,1.0,0.896373,0.909091,1.0,0.898964,0.884097,0.894428,0.893519,1.0,0.897361,0.917391,0.0,0.876833
Gender,1.0,1.0,0.909548,0.907928,0.871324,1.0,1.0,0.896373,0.878676,1.0,0.917098,0.889488,0.860294,0.907407,1.0,0.867647,0.915217,0.876833,0.0
