,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.863787,1.0,0.958564,0.913621,0.906977,0.898734,1.0,1.0,1.0
X2,0.863787,0.0,1.0,0.936464,0.881295,0.906475,0.913502,1.0,1.0,0.990164
X3,1.0,1.0,0.0,1.0,0.990632,0.992974,1.0,0.906323,0.997763,0.960187
X4,0.958564,0.936464,1.0,0.0,0.88674,0.953039,0.995781,1.0,1.0,0.966851
X5,0.913621,0.881295,0.990632,0.88674,0.0,0.834646,0.957806,0.992736,1.0,0.947541
X6,0.906977,0.906475,0.992974,0.953039,0.834646,0.0,0.943038,0.985472,1.0,0.960656
X7,0.898734,0.913502,1.0,0.995781,0.957806,0.943038,0.0,1.0,1.0,1.0
X8,1.0,1.0,0.906323,1.0,0.992736,0.985472,1.0,0.0,1.0,0.934625
X9,1.0,1.0,0.997763,1.0,1.0,1.0,1.0,1.0,0.0,1.0
X10,1.0,0.990164,0.960187,0.966851,0.947541,0.960656,1.0,0.934625,1.0,0.0
