,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender
Hours_Studied,0.0,0.961623,1.0,1.0,1.0,0.970886,0.975283,1.0,0.997468,0.978481,1.0,1.0,1.0,1.0,0.982278,0.996203,1.0,1.0,1.0
Attendance,0.961623,0.0,1.0,1.0,1.0,0.976974,0.906282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Parental_Involvement,1.0,1.0,0.0,0.750643,0.886305,1.0,1.0,0.75443,0.925065,1.0,0.748756,0.739018,0.912145,0.908884,1.0,0.899225,0.912281,0.894057,0.906977
Access_to_Resources,1.0,1.0,0.750643,0.0,0.886889,1.0,1.0,0.756962,0.928021,1.0,0.733831,0.753213,0.915167,0.91344,1.0,0.904884,0.912281,0.902314,0.907455
Extracurricular_Activities,1.0,1.0,0.886305,0.886889,0.0,1.0,1.0,0.896203,0.813492,0.987624,0.890547,0.883469,0.88764,0.917995,0.997494,0.801587,0.929825,0.884726,0.887273
Sleep_Hours,0.970886,0.976974,1.0,1.0,1.0,0.0,0.982492,1.0,0.985263,0.962105,1.0,1.0,1.0,1.0,0.955789,0.983158,1.0,1.0,1.0
Previous_Scores,0.975283,0.906282,1.0,1.0,1.0,0.982492,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Motivation_Level,1.0,1.0,0.75443,0.756962,0.896203,1.0,1.0,0.0,0.936709,1.0,0.751244,0.764557,0.929114,0.917995,1.0,0.913924,0.921053,0.906329,0.924051
Internet_Access,0.997468,1.0,0.925065,0.928021,0.813492,0.985263,1.0,0.936709,0.0,0.977723,0.932836,0.913279,0.865169,0.933941,0.982456,0.732558,0.925439,0.904899,0.905455
Tutoring_Sessions,0.978481,1.0,1.0,1.0,0.987624,0.962105,1.0,1.0,0.977723,0.0,1.0,1.0,1.0,1.0,0.886139,0.965347,1.0,1.0,1.0
Family_Income,1.0,1.0,0.748756,0.733831,0.890547,1.0,1.0,0.751244,0.932836,1.0,0.0,0.78607,0.940299,0.929385,1.0,0.91791,0.945175,0.912935,0.930348
Teacher_Quality,1.0,1.0,0.739018,0.753213,0.883469,1.0,1.0,0.764557,0.913279,1.0,0.78607,0.0,0.894309,0.899772,1.0,0.888889,0.89693,0.880759,0.886179
School_Type,1.0,1.0,0.912145,0.915167,0.88764,1.0,1.0,0.929114,0.865169,1.0,0.940299,0.894309,0.0,0.904328,1.0,0.842697,0.888158,0.89049,0.850909
Peer_Influence,1.0,1.0,0.908884,0.91344,0.917995,1.0,1.0,0.917995,0.933941,1.0,0.929385,0.899772,0.904328,0.0,1.0,0.915718,0.890351,0.906606,0.91344
Physical_Activity,0.982278,1.0,1.0,1.0,0.997494,0.955789,1.0,1.0,0.982456,0.886139,1.0,1.0,1.0,1.0,0.0,0.972431,1.0,1.0,1.0
Learning_Disabilities,0.996203,1.0,0.899225,0.904884,0.801587,0.983158,1.0,0.913924,0.732558,0.965347,0.91791,0.888889,0.842697,0.915718,0.972431,0.0,0.903509,0.881844,0.869091
Parental_Education_Level,1.0,1.0,0.912281,0.912281,0.929825,1.0,1.0,0.921053,0.925439,1.0,0.945175,0.89693,0.888158,0.890351,1.0,0.903509,0.0,0.910088,0.910088
Distance_from_Home,1.0,1.0,0.894057,0.902314,0.884726,1.0,1.0,0.906329,0.904899,1.0,0.912935,0.880759,0.89049,0.906606,1.0,0.881844,0.910088,0.0,0.873199
Gender,1.0,1.0,0.906977,0.907455,0.887273,1.0,1.0,0.924051,0.905455,1.0,0.930348,0.886179,0.850909,0.91344,1.0,0.869091,0.910088,0.873199,0.0
