,X1_sexo,X2_zona,X3_ciclo,X4_ingreso_familiar,X5_trabaja,X6_beca,X7_educ_jefe,X8_tam_familiar,X9_asistencia,X10_cursos_desaprobados
X1_sexo,0.0,0.943598,1.0,1.0,0.958841,0.972561,0.977689,1.0,1.0,1.0
X2_zona,0.943598,0.0,1.0,1.0,0.897297,0.924528,0.976892,1.0,1.0,1.0
X3_ciclo,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.929568,0.99809,0.982583
X4_ingreso_familiar,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
X5_trabaja,0.958841,0.897297,1.0,1.0,0.0,0.859838,0.975299,1.0,1.0,1.0
X6_beca,0.972561,0.924528,1.0,1.0,0.859838,0.0,0.971315,1.0,1.0,1.0
X7_educ_jefe,0.977689,0.976892,1.0,1.0,0.975299,0.971315,0.0,1.0,1.0,1.0
X8_tam_familiar,1.0,1.0,0.929568,1.0,1.0,1.0,1.0,0.0,0.996452,1.0
X9_asistencia,1.0,1.0,0.99809,1.0,1.0,1.0,1.0,0.996452,0.0,1.0
X10_cursos_desaprobados,1.0,1.0,0.982583,1.0,1.0,1.0,1.0,1.0,1.0,0.0
