tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Fraude Informatico,Llamada Telefonica,30-49,Femenino,Puno,Manana,No,Si,No,6077.52
Acceso Ilicito,WhatsApp o SMS,65 o mas,Femenino,Lima,Manana,Si,Si,Si,6076.84
Acceso Ilicito,Correo Electronico,30-49,Femenino,Piura,Manana,No,No,Si,6065.53
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Noche,No,Si,No,6052.31
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Madrugada,No,Si,No,6048.43
Sextorsion,WhatsApp o SMS,30-49,Femenino,Tacna,Madrugada,No,No,Si,6043.64
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Arequipa,Manana,Si,No,No,6041.46
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Manana,No,Si,No,6024.95
Fraude Informatico,Correo Electronico,18-29,Masculino,La Libertad,Tarde,No,No,Si,6024.12
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Lima,Manana,No,No,No,6009.45
Sextorsion,Redes Sociales,18-29,Masculino,Lima,Noche,No,No,No,6008.0
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Tarde,No,Si,No,5980.19
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,Si,No,5968.86
Fraude Informatico,Llamada Telefonica,30-49,Femenino,La Libertad,Tarde,Si,No,Si,5954.53
Fraude Informatico,Correo Electronico,65 o mas,Masculino,Lima,Manana,No,No,No,5953.09
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Manana,Si,No,No,5947.62
Fraude Informatico,Correo Electronico,18-29,Femenino,Lambayeque,Manana,No,No,No,5944.33
Fraude Informatico,Correo Electronico,50-64,Masculino,Lima,Tarde,No,No,No,5932.07
Acceso Ilicito,Pagina Web Falsa,50-64,Femenino,Lima,Tarde,No,No,No,5925.84
Fraude Informatico,Pagina Web Falsa,50-64,Femenino,Lima,Madrugada,No,No,Si,5896.77
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Tarde,No,Si,Si,5883.64
Fraude Informatico,Redes Sociales,30-49,Masculino,Arequipa,Noche,Si,Si,No,5866.8
Sextorsion,WhatsApp o SMS,18-29,Masculino,Tacna,Tarde,No,No,No,5861.55
Fraude Informatico,Redes Sociales,18-29,Masculino,Lima,Manana,No,No,Si,5861.25
Fraude Informatico,Correo Electronico,30-49,Femenino,Arequipa,Tarde,No,Si,No,5846.4
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Tarde,No,Si,Si,5845.6
Fraude Informatico,Pagina Web Falsa,65 o mas,Femenino,Lima,Manana,No,No,No,5844.63
Sextorsion,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,No,No,Si,5840.05
Fraude Informatico,Correo Electronico,50-64,Femenino,Lima,Noche,No,Si,No,5835.38
Fraude Informatico,Redes Sociales,30-49,Femenino,Callao,Manana,No,Si,No,5816.11
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Arequipa,Madrugada,No,No,No,5811.51
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Noche,No,No,No,5811.36
Fraude Informatico,WhatsApp o SMS,18-29,Femenino,Lima,Manana,No,No,No,5800.8
Fraude Informatico,Redes Sociales,50-64,Femenino,Lima,Tarde,No,No,No,5789.85
Fraude Informatico,Correo Electronico,30-49,Femenino,La Libertad,Noche,No,No,Si,5789.7
Sextorsion,Correo Electronico,18-29,Femenino,Puno,Noche,No,No,No,5782.95
Fraude Informatico,Correo Electronico,65 o mas,Femenino,Callao,Manana,No,Si,No,5777.17
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Manana,No,No,Si,5777.11
Fraude Informatico,Redes Sociales,50-64,Femenino,Lima,Madrugada,No,No,No,5752.63
Fraude Informatico,WhatsApp o SMS,50-64,Femenino,Cusco,Noche,Si,No,No,5750.39
Fraude Informatico,Redes Sociales,30-49,Femenino,Lima,Tarde,No,Si,No,5747.81
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Madrugada,No,Si,No,5742.35
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,Si,No,No,5741.44
Fraude Informatico,WhatsApp o SMS,65 o mas,Femenino,Arequipa,Madrugada,No,Si,No,5723.74
Fraude Informatico,Redes Sociales,18-29,Femenino,Lambayeque,Noche,No,No,No,5715.89
