,X1_sexo,X2_zona,X3_ciclo,X4_ingreso_familiar,X5_trabaja,X6_beca,X7_educ_jefe,X8_tam_familiar,X9_asistencia,X10_cursos_desaprobados
X1_sexo,0.0,0.97449,1.0,1.0,0.991497,1.0,0.993626,1.0,1.0,1.0
X2_zona,0.97449,0.0,1.0,1.0,0.977186,0.995247,0.983127,1.0,1.0,1.0
X3_ciclo,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.945235,1.0,1.0
X4_ingreso_familiar,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
X5_trabaja,0.991497,0.977186,1.0,1.0,0.0,0.899281,0.990251,1.0,1.0,1.0
X6_beca,1.0,0.995247,1.0,1.0,0.899281,0.0,1.0,1.0,1.0,1.0
X7_educ_jefe,0.993626,0.983127,1.0,1.0,0.990251,1.0,0.0,1.0,1.0,1.0
X8_tam_familiar,1.0,1.0,0.945235,1.0,1.0,1.0,1.0,0.0,1.0,1.0
X9_asistencia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
X10_cursos_desaprobados,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
