tipo_delito,medio_utilizado,rango_edad_victima,genero_victima,region,hora_incidente,antivirus_activo,doble_factor,denuncia_formal,monto_afectado
Acceso Ilicito,WhatsApp o SMS,18-29,Masculino,Lima,Tarde,No,No,No,3712.92
Fraude Informatico,Redes Sociales,30-49,Femenino,La Libertad,Madrugada,Si,Si,No,3700.54
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Manana,Si,No,No,3687.38
Fraude Informatico,Correo Electronico,18-29,Masculino,Lima,Tarde,No,No,No,3685.62
Estafa por Internet,WhatsApp o SMS,18-29,Femenino,Lima,Manana,No,No,No,3678.24
Fraude Informatico,Correo Electronico,30-49,Masculino,Lima,Tarde,No,Si,No,3678.14
Fraude Informatico,Redes Sociales,18-29,Masculino,Tacna,Manana,Si,Si,No,3676.58
Sextorsion,Llamada Telefonica,18-29,Masculino,Callao,Tarde,Si,No,No,3672.74
Estafa por Internet,Redes Sociales,65 o mas,Femenino,Lima,Noche,Si,No,Si,3666.81
Acceso Ilicito,WhatsApp o SMS,50-64,Masculino,Lima,Noche,No,No,No,3660.35
Acceso Ilicito,Redes Sociales,30-49,Masculino,Arequipa,Manana,No,No,Si,3660.02
Acceso Ilicito,WhatsApp o SMS,50-64,Femenino,Lima,Manana,No,No,Si,3658.93
Estafa por Internet,WhatsApp o SMS,30-49,Masculino,Arequipa,Tarde,Si,No,No,3655.19
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Junin,Tarde,No,No,Si,3654.09
Acceso Ilicito,WhatsApp o SMS,18-29,Femenino,La Libertad,Manana,Si,No,Si,3649.12
Estafa por Internet,Correo Electronico,18-29,Femenino,Lima,Tarde,No,No,No,3640.65
Fraude Informatico,Correo Electronico,18-29,Femenino,Lima,Noche,Si,Si,Si,3634.63
Fraude Informatico,WhatsApp o SMS,18-29,Masculino,Lima,Manana,Si,No,Si,3633.07
Fraude Informatico,Correo Electronico,30-49,Masculino,La Libertad,Noche,No,Si,Si,3632.83
Fraude Informatico,Redes Sociales,30-49,Masculino,La Libertad,Tarde,No,No,Si,3621.72
Estafa por Internet,Redes Sociales,50-64,Femenino,Lima,Tarde,No,No,Si,3619.24
Acceso Ilicito,Correo Electronico,30-49,Masculino,Lambayeque,Manana,No,Si,Si,3618.15
Estafa por Internet,WhatsApp o SMS,30-49,Femenino,Lima,Noche,Si,No,No,3614.51
Fraude Informatico,Llamada Telefonica,50-64,Femenino,Puno,Manana,No,No,No,3609.53
Fraude Informatico,Pagina Web Falsa,18-29,Masculino,Arequipa,Madrugada,No,Si,No,3609.01
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Piura,Manana,Si,Si,No,3605.24
Fraude Informatico,Redes Sociales,18-29,Femenino,Lima,Tarde,No,No,No,3597.78
Fraude Informatico,WhatsApp o SMS,30-49,Masculino,Piura,Manana,No,No,No,3594.11
Suplantacion de Identidad,Redes Sociales,65 o mas,Masculino,Puno,Madrugada,No,No,No,3579.36
Estafa por Internet,Pagina Web Falsa,30-49,Femenino,Lima,Tarde,No,No,Si,3575.27
