Variable,Nombre,Grado_Best,Grado_Worst,Diferencia_D,Abs_Diferencia
X6_beca,X6_beca,0.91672,1.952953,1.036233,1.036233
X2_zona,X2_zona,1.993592,0.988182,-1.00541,1.00541
X5_trabaja,X5_trabaja,1.91672,1.953611,0.036891,0.03689100000000001
X1_sexo,X1_sexo,6.0,5.988182,-0.011818,0.011817999999999884
X7_educ_jefe,X7_educ_jefe,0.993592,0.999342,0.00575,0.005749999999999922
X8_tam_familiar,X8_tam_familiar,0.95319,0.958883,0.005693,0.005693000000000059
X3_ciclo,X3_ciclo,1.95319,1.958883,0.005693,0.005692999999999948
X10_cursos_desaprobados,X10_cursos_desaproba…,1.0,1.0,0.0,0.0
X4_ingreso_familiar,X4_ingreso_familiar,1.0,1.0,0.0,0.0
X9_asistencia,X9_asistencia,1.0,1.0,0.0,0.0
