,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.962637,1.0,1.0,1.0,0.973626,0.962563,1.0,1.0,1.0
X2,0.962637,0.0,1.0,1.0,1.0,0.9575,0.982721,1.0,1.0,1.0
X3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.948173,1.0,1.0
X4,1.0,1.0,1.0,0.0,0.973662,0.996602,1.0,1.0,1.0,1.0
X5,1.0,1.0,1.0,0.973662,0.0,0.935611,1.0,1.0,1.0,1.0
X6,0.973626,0.9575,1.0,0.996602,0.935611,0.0,0.984161,1.0,1.0,1.0
X7,0.962563,0.982721,1.0,1.0,1.0,0.984161,0.0,1.0,1.0,1.0
X8,1.0,1.0,0.948173,1.0,1.0,1.0,1.0,0.0,1.0,1.0
X9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
X10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
